"Year","Mon","Day","Pcp(mm)","Tmax(c)","Tmin(c)","WSpeed(m/s)","RHumidity(fr)","SRad(MJ/m2)","SShine(hr)","Cloud(1/10)","Tavg(c)"
"1954","01","01",0,9.6,1.7,1.5,0.697,"-99.00","2.1",3.3,5.1
"1954","01","02",0,8.7,2.2,3.4,0.63,"-99.00","0",3.3,4.9
"1954","01","03",0.5,11.4,2.4,4.3,0.67,"-99.00","1.6",6.7,5.9
"1954","01","04",0,10,2.4,4.8,0.71,"-99.00","3",6,5.6
"1954","01","05",0,8.5,1.8,4.6,0.577,"-99.00","7.2",2,4.3
"1954","01","06",0,7.2,0.1,5.6,0.493,"-99.00","8.3",4,3.1
"1954","01","07",0,8.4,-0.2,3.5,0.533,"-99.00","8.3",1,4.1
"1954","01","08",1.2,12.3,4.7,2.3,0.79,"-99.00","0",7,7.9
"1954","01","09",0.9,14.3,7,1.6,0.92,"-99.00","0",10,10
"1954","01","10",0,9.5,-0.5,8,0.603,"-99.00","8.3",3.7,5.1
"1954","01","11",0,5.4,-2.8,7.3,0.387,"-99.00","7.7",2.7,1.2
"1954","01","12",0,11.6,0.6,2.8,0.527,"-99.00","6.8",6,6.4
"1954","01","13",1.9,9.2,4.5,5.3,0.797,"-99.00","0",10,7.6
"1954","01","14",1.8,7.8,3.8,4.6,0.807,"-99.00","0",10,5.9
"1954","01","15",0.2,9,2.8,4.4,0.697,"-99.00","3.4",7.7,6.1
"1954","01","16",6.2,8.4,4.1,3.8,0.753,"-99.00","0",8,5.2
"1954","01","17",0.5,9.2,5.1,4.5,0.763,"-99.00","0",10,7.6
"1954","01","18",0,11.6,6,4,0.737,"-99.00","6.4",7.7,8.8
"1954","01","19",0,11.5,6.7,2.1,0.643,"-99.00","0",10,8.6
"1954","01","20",6.1,10.8,6.1,1.2,0.793,"-99.00","0",10,9.2
"1954","01","21",2.5,10.6,5.6,6.7,0.843,"-99.00","0",10,7.7
"1954","01","22",0,9.1,3,5.4,0.67,"-99.00","6.2",8.3,6.1
"1954","01","23",0,3.9,-0.7,9.9,0.34,"-99.00","0",10,1.1
"1954","01","24",0,3.2,-3.6,14.4,0.387,"-99.00","1.2",2.7,-0.9
"1954","01","25",0,0.5,-5.6,5.8,0.35,"-99.00","10",0.7,-3.4
"1954","01","26",0,3.4,-5.8,3.8,0.39,"-99.00","9",0,-1.3
"1954","01","27",0,6.5,-2.9,4.8,0.473,"-99.00","7",1.7,1.8
"1954","01","28",0,3.2,-3,6.3,0.377,"-99.00","9.7",1,-0.1
"1954","01","29",0,4,-5.4,6.2,0.397,"-99.00","6.4",0,-0.5
"1954","01","30",0,7.8,-1,3,0.567,"-99.00","3.9",2,2.6
"1954","01","31",0,6.8,-0.6,4.6,0.5,"-99.00","7.5",1.7,1.8
